k,Rayyan ID,Title,Year,Species (Latin),Species (English),Genetic line (if applicable),Order,Family,Recording location,Group context,Juveniles present?,Number of animals,Number of vocalizations (total recorded),Number of vocalizations (included in analysis),Call classification,Full repertoire analysed?,"Repertoire size (hand, total)","Repertoire size (hand, juvenile) - indicate how many calls of total repertoire are juvenile ",Repertoire size (automated),Graded vs discrete (do authors mention reportoire is graded?),Data availability,Notes,Preselected non-noisy calls,Spectrogram type,FFT size,Window type,Overlap (%),Bandpass filtered,High pass freq threshold,Low pass freq threshold ,Notes (preprocess),Package,Number of features,Multi-unit calls?,Characteristics general,Syllables/units,Repeated measurements at multiple locations in call?,PRAAT measures,AvisoftSAS Lab Pro measurements,Raven Pro measurements,warblR measurements,Custom features,Custom measurement of:,Notes call features,Language,"Analysis methods (only mark when used for analysis, so e.g. don't mark UMAP if it's ONLY used for visualization)",Analysis based on:,Notes analysis,Open access,License
14/12/2025 15:42:37,rayyan-380414603,"The vocal repertoire of an African colobine, Colobus angolensis ruwenzorii: a multi-level society compared to congeners in stable groups",2020,Colobus angolensis ruwenzorii,Rwenzori Angolan colobus,,Primates,Cercopithecidae,field,group,Yes,132,,443,Hand,Yes,6,,,No,No,,yes,,,,,,,,not reported,Raven Pro 1.5,5,Some,duration,number of units,,,,max/peak frequency,,,,,N/A,,,,No,
29/12/2025 20:47:53,rayyan-380414609,Bat serenades—complex courtship songs of the sac-winged bat (Saccopteryx bilineata),2004,Saccopteryx bilineata,sac-winged bat,,Chiroptera,Emballonuridae,field,group,Unknown,,,5019,Hand,No,7,,,No,No,,no,,1024,Hamming,75,,,,,Avisoft-SASLab Pro,12,Some,duration,,,,,,,Discontinuity = length of pauses / total length; Longest pause at beginning of call; Longest pause at end of call; main freq; mean F0; start freq; end freq; end-start freq; Number of modulations; Medium frequency stroke in modulations; Modulation frequency = number of modulations / (total length – length of pauses),F0,,N/A,,,DFA for individual identity,No,
12/01/2026 17:26:37,rayyan-380414611,Characterizing Vocal Repertoires—Hard vs. Soft Classification Approaches,2015,Papio ursinus,chacma baboon,,Primates,Cercopithecidae,field,group,Yes,78,,912,Automated,Yes,,,,Yes,"Yes, preprocessed",,yes,,1024,Hamming,96.87,,,,,LMA,9; 38; 118,No,duration,,,,,,,,,See word doc,MATLAB,"K-means clustering, fuzzy c-means; hierarchical clustering",features,,Yes,CC BY 4.0
19/12/2025 22:03:47,rayyan-380414613,Vocal acoustics in the endangered proboscis monkey (Nasalis larvatus),2014,Nasalis larvatus,proboscis monkey,,Primates,Cercopithecidae,field,group,Unknown,,,1173,Hand,Yes,4,,,No,No,,yes,,,,,Yes,5,30000,,Praat,8,Some,duration,,,"mean F0, max F0, min F0, std F0",,,,HNR; % voiced; time to peak,,,SPSS,DFA,features,,No,
01/01/2026 17:45:46,rayyan-380414636,Graded or discrete? A quantitative analysis of Campbell's monkey alarm calls,2013,Cercopithecus campbelli,Campbell's monkey,,Primates,Cercopithecidae,field,group,Yes,,4157,3344,Automated,Yes,,,4,Yes,No,,yes,,512,Hanning/Hann,,,,,,Raven Pro,7,Some,duration,,,,,,,start PF; middle PF; end PF; start to middle PF; middle to end PF; 'oo' present,peak frequency,,SPSS,"PCA, two-step clustering, K-means clustering",features,,No,
05/01/2026 06:05:24,rayyan-380414643,The social contexts of some very low frequency calls of African elephants,1988,Loxodonta africana,African elephant,,Proboscidea, Elephantidae,field,group,Unknown,,,264,Hand,No,8,,,No,No,,yes,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
05/01/2026 15:16:54,rayyan-380414646,Classification of African Elephant Loxodonta africana Rumbles Using Acoustic Parameters and Cluster Analysis,2005,Loxodonta africana,african elephant,,Proboscidea,Elephantidae,field,group,Unknown,,975,663,Automated,No,,,3,Yes,No,,yes,,,,,,,,,Cool Edit Pro,20,No,duration,,60 points in the frequency contour,,,,,coefficient of freq modulation; jitter factor; frequency variability index; inflection factor; min freq; end freq; max freq; mean freq; peak amp freq; freq bandwidth; peak freq/mean freq; mean freq/min freq; time to max amp; time to max peak; time to min peak; start slope; middle slope; end slope,"F0, peak frequency",,S-PLUS,MCLUST,features,,No,
30/12/2025 12:42:08,rayyan-380414654,Vocal Repertoire of Golden-backed Uakaris (Cacajao melanocephalus): Call Structure and Context,2010,Cacajao melanocephalus,golden-backed uakari,,Primates,Pitheciidae,field,group,Yes,46,,509,Hand,Yes,9,1,,No,No,,,,1024,Hanning/Hann,,,,,,BatSound,11,No,duration,,,,,,,max F0; min F0; start F0; end F0; F0bandwidth; time to max F0; time max F0 to end; peak freq; number of harmonics; freq F0 to F1,"F0, peak frequency",,SPSS,DFA,features,,No,
31/12/2025 23:42:34,rayyan-380414655,Western Gorilla Vocal Repertoire and Contextual Use of Vocalizations,2013,Gorilla gorilla,western gorilla,,Primates,Hominidae,field,group,Yes,13,11738,2163,Hand,Yes,17,3,,Yes,No,,yes,,1024,Hamming,,,,,,LMA,28,Some,duration,,,,,,"freq.median, freq.Q25",dfa1mean; dfa1maloc; dfa2mean; dfa2maloc; df1max; df1min; df1mean; df1maloc; df1miloc; df1trfak; df2max; df2mean; df3mean; diffmean; diffreq; ampratio1; fp1max; fp1mean; fp1amean; ranmean; pfmax; pfmin; pfmean; pfmaloc; pftrfak; % noise; % tonal,"F0, peak frequency, amplitude",extracted in LMA but used Warblr features for speed,SPSS,DFA,features,,No,
04/12/2025 16:14:18,rayyan-380414661,Aerial Vocalizations by Wild and Rehabilitating Mediterranean Monk Seals (Monachus monachus) in Greece.,2011,Monachus monachus,Mediterranean monk seal,,Carnivora,Phocidae,field,group,Yes,8,,,Hand,No,4,,,No,No,,no,,,,,,,,not reported,Spectrogram Version 16,9,Some,duration,"unit duration, inter unit interval, number of units",,,,,,"start freq; end freq, max freq, min freq, harmonic interval",,,MYSTAT,PCA,features,,No,
04/01/2026 16:09:45,rayyan-380414674,Structure and Usage of the Vocal Repertoire of Callithrix jacchus,2008,Callithrix jacchus,common marmoset,,Primates,Callitrichidae,field,group,Yes,30,,754,Hand,Yes,13,1,,No,No,,yes,,,,,,,,,SYRINX-PC,12,Some,,"unit duration, inter unit interval, number of units",,,,,,max freq; min freq; start freq; end freq; freq bandwidth; time to max; time max to end; number of harmonics; interval between harmonics,formants,,N/A,,,,No,
27/12/2025 22:27:20,rayyan-380414682,Vocal behaviour in the endangered corsican deer: description and phylogenetic implications,2008,Cervus elaphus corsicanus,Corsican deer,,Artiodactyla,Cervidae,field,group,Yes,,,679,Hand,Yes,4,1,,No,No,,no,,,,,,,,,PRAAT,15,No,duration,,,"mean F0, max F0, min F0, start f0, end f0, number of F0 inflections; ",,,,min freq for each F1-F8,formants,,N/A,,,DFA only for individual recognition,No,
11/01/2026 12:20:48,rayyan-380414683,"Vocalizations in red deer (Cervus elaphus), sika deer (Cervus nippon), and red × sika hybrids",1998,Cervus elaphus,red deer,,Artiodactyla,Cervidae,field,group,Unknown,,,,Hand,No,2,,,No,No,,no,,,,,,,,, Cool Edit,15,No,duration,,10 points in F0 profile,,,,,min F0; max F0; time to max F0; time to min F0,F0,,SPSS,DFA,features,,No,
22/12/2025 21:23:02,rayyan-380414684,Vocal repertoires and classification of the sika deer Cervus nippon,1992,Cervus nippon,sika deer,,Artiodactyla,Cervidae,field,group,Yes,,7250,620,Hand,Yes,13,1,,No,No,recordings in Nara Park,yes,,,,,,,,,Kay Sona-Graph,4,Some,duration,number of units,,,,,,F0 min; F0 max,F0,,N/A,,,,Yes,
14/01/2026 16:48:26,rayyan-380414686,"Rutting vocalizations of Formosan sika deer Cervus nippon taiouanus—acoustic structure, seasonal and diurnal variations, and individuality",2013,Cervus nippon taiouanus,Formosan sika deer,,Artiodactyla,Cervidae,field,group,Yes,,,148,Hand,No,2,,,No,No,,yes,,,,,,,,not reported,Avisoft-SASLab Pro,14,No,duration,,,,,,,"F0 start; F0 end; F0 center; F0 mean; F0 min; F0 max; PF start; PF end; PF center; PF mean; PF min; PF max, dB","F0, peak frequency, amplitude",,N/A,,,DFA only for identity,No,
11/12/2025 21:42:01,rayyan-380414702,Field and laboratory studies of the vocalizations of talapoin monkeys (Miopithecus talapoin),1974,Miopithecus talapoin,Angolan talapoin,,Primates,Cercopithecidae,field,group,Yes,115,,1400,Hand,Yes,28,4,,Yes,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
15/12/2025 15:49:01,rayyan-380414707,An analysis of the organization of vocal communication in the titi monkey Callicebus moloch,1979,Plecturocebus moloch,red-bellied titi monkey,,Primates, Pitheciidae,field,group,Unknown,,,,Hand,Yes,12,1,,Yes,No,,yes,,,,,,,,,Kay Sona-Graph,7,Some,,,,,,,,50% dominant freq; number of harmonics; min dom freq; max dom freq; 50% highest harmonic,dominant frequency,,N/A,,,,No,
14/12/2025 12:33:55,rayyan-380414710,Vocal repertoire of the mongoose Herpestes auropunctatus,1975,Urva auropunctata,small Indian mongoose,,Carnivora,Herpestidae,field,group,Yes,,,,Hand,Yes,12,,,No,No,,yes,,,,,,,,,Kay Sona-Graph,,Some,duration,,,,,,,mean amplitude,amplitude,,N/A,,,,No,
01/12/2025 17:27:54,rayyan-380414714,"Acoustic communication in the aardwolf, Proteles cristatus (Carnivona: Hyaenidae).",1997,Proteles cristatus,aardwolf,,Carnivora,Hyaenidae,field,group,Unknown,13,,,Hand,Yes,9,1,,Yes,No,calls include some mechanical sounds,,,,,,,,,no further analysis,N/A,,,,,,,,,,,,,N/A,,,,No,
12/11/2025 17:15:32,rayyan-380414715,A field study on the vocalizations of Goeldi's monkeys (Callimico goeldii),1982,Callimico goeldii,Goeldi's monkey,,Primates,Callitrichidae,field,group,Yes,8,,,Hand,Yes,40,12,,No,No,,,,,,,,,,no further analysis,N/A,,,,,,,,,,,,no further analysis,N/A,,,no further analysis,No,
05/01/2026 06:39:01,rayyan-380414716,The study of vocal communication of wild mandrills in Cameroon in relation to their social structure,1987,Mandrillus sphinx,mandrill,,Primates,Cercopithecidae,field,group,Unknown,,,,Hand,Yes,11,,,Yes,No,,no,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
28/12/2025 22:44:56,rayyan-380414718,Vocal communication in free-ranging African wild dogs (Lycaon pictus),2000,Lycaon pictus,African wild dog,,Carnivora,Canidae,field,group,Unknown,,,321,Hand,Yes,18,0,,Yes,No,,yes,,,,,,,,,Kay Sona-Graph,5,Some,duration,"unit duration, inter unit interval",,,,,,F0; dominant freq range; harmonic interval,"F0, dominant frequency",,N/A,,,,No,
11/01/2026 19:20:07,rayyan-380414736,Alarm calling in three species of marmots,1999,Marmota olympus,Olympic marmot,,Rodentia,Sciuridae,field,group,Yes,14,,20,Hand,No,4,,,Yes,No,,yes,,512,Hamming,50,,,,,Canary,14,Some,duration,"unit duration, inter unit interval, number of units, unit range (units/s)",,,,,,min freq; max freq; peak freq; min freq at call start; min freq at call end; bandwidth; end-start freq; end/start freq,peak frequency,,N/A,,,,No,
10/01/2026 13:16:17,rayyan-380414737,Alarm Communication in Belding's Ground Squirrels,1981,Urocitellus beldingi,Belding's ground squirrel,,Rodentia,Sciuridae,field,group,Yes,,,48,Hand,No,2,,,Yes,No,,no,,,,,,,,,Kay Sona-Graph,,Some,duration,"unit duration, inter unit interval",,,,,,PF,peak frequency,,N/A,,,,No,
28/12/2025 21:57:51,rayyan-380414738,"Context-specific alarm calls of the eastern chipmunk, Tamias striatus",1994,Tamias striatus,eastern chipmunk,,Rodentia,Sciuridae,field,group,Yes,,,,Hand,Yes,10,1,,Yes,No,,no,,,,,,,,,Kay Sona-Graph,,Some,duration,"unit duration, inter unit interval, unit range (units/s)",2-3 notes per call,,,,,min freq; max freq;,,,N/A,,,,No,
31/12/2025 10:13:41,rayyan-380414740,Vervets revisited: A quantitative analysis of alarm call structure and context specificity,2015,Chlorocebus pygerythrus,vervet monkey,,Primates,Cercopithecidae,field,group,Yes,,,504,Automated,No,4,,,Yes,No,,yes,,1024,Hamming,93.75,Highpass,100,,,LMA; Avisoft SASlab Pro,10,Some,duration,number of units,,,"peak frequency, Q25, Q50, entropy",,,Maximum difference between successive peak frequencies; Mean frequency of the first global frequency peak; Mean amplitude of the first global frequency peak; Mean frequency range; ,"peak frequency, amplitude",,SPSS,two-step clustering,features,,Yes,CC BY 4.0
15/01/2026 10:53:59,rayyan-380414748,"Calling behaviour of the yellow-bellied glider, Petaurus australis Shaw (Marsupialia: Petauridae)",1982,Petaurus australis,yellow-bellied glider,,Diprotodontia,Petauridae,field,group,Unknown,,,,Hand,No,6,,,No,No,,no,,,,,,,,,Kay Sona-Graph,,,duration,,,,,,,max freq; freq bands,,,N/A,,,,No,
07/01/2026 21:17:43,rayyan-380414749,Intraspecific Variation in the Vocalizations and Hand Pad Morphology of Southern Lesser Bush Babies (Galago moholi): A Comparison with G. senegalensis,2000,Galago senegalensis,Senegal bushbaby,,Primates,Galagidae,field,,Unknown,,,230,Hand,No,3,,,No,No,,no,,512,Hamming,50,,,,,Avisoft Sonogram Pro,4,Some,,"unit duration, inter unit interval, number of units",,,,,,F0,F0,,N/A,,,,No,
14/01/2026 17:01:56,rayyan-380414751,"Vocalization analyses of nocturnal arboreal mammals of the Taita Hills, Kenya",2020,Dendrohyrax sp.,tree hyrax,,Hyracoidea,Procaviidae,field,,Unknown,,,253,Hand,No,3,,,Yes,"Yes, preprocessed",songs with 5 syllable types,yes,,512,Hanning/Hann,50,,,,,Raven Pro,10,No,duration,,,,,"energy, aggregate entropy, max/peak frequency, max/peak power, center frequency, 1st quartile frequency",,min freq; max freq; freq bandwidth,,,R; SPSS,multinomial regression analysis,features,,Yes,CC BY 4.0
01/12/2025 22:37:05,rayyan-380414754,Acoustic Repertoire of the Philippine Tarsier (Tarsius syrichta fraterculus) and Individual Variation of Long‐Distance Calls,2012,Tarsius syrichta fraterculus,Philippine Tarsier,,Primates,Tarsiidae,field,group,Yes,,,841,Hand,Yes,8,,,No,No,,yes,,1024,Hanning/Hann,87.5,Lowpass,,22000,,Avisoft-SASLab Pro; LMA,5,Some,duration,number of units,,,"min frequency, max frequency",,,start freq,,additional features for certain call types,N/A,,,,Yes,CC BY 3.0
19/12/2025 08:53:05,rayyan-380414756,"Ultrasonic Vocalizations by the Spectral Tarsier, Tarsius spectrum",2015,Tarsius spectrum,spectral tarsier,,Primates,Tarsiidae,field,group,Unknown,,,143898,Hand,No,5,,,No,No,,yes,,,,,,,,,BatSound,5,No,duration,,,,,,,"mean F0; max F0; min F0, start PF; end PF","F0, peak frequency",classical multi-unit calls considered single unit in the paper,N/A,,,,No,
11/01/2026 07:09:20,rayyan-380414759,Role of sound communication in mating of Malaysian Callosciurus (Sciuridae),1993,Callosciurus notatus,plantain squirrel,,Rodentia,Sciuridae,field,group,No,,,,Hand,No,2,,,No,No,,no,,,,,,,,,Kay Sonagraph,,All,,"unit duration, number of units",,,,,,max freq; min freq; F0; F1,,,N/A,,,,No,
11/01/2026 07:49:28,rayyan-380414760,Vocalizations in response to predators in three species of Malaysian Callosciurus (Sciuridae),1993,Callosciurus notatus,plantain squirrel,,Rodentia,Sciuridae,field,group,Unknown,,,,Hand,No,4,,,No,No,,no,,,,,,,,,Kay Sonagraph,,Some,duration,"unit duration, unit range (units/s)",,,,,,min freq; max freq; dominant freq,,,N/A,,,,No,
11/12/2025 04:26:20,rayyan-380414766,"Sound communications of black-tailed, white-tailed, and Gunnison's prairie dogs",1970,Cynomys ludovicianus,black-tailed prairie dog,,Rodentia,Cynomys,field,group,Unknown,,,,Hand,Yes,9,,,No,No,,,,,,,,,,,Kay Sona-Graph,3,Some,duration,inter unit interval,,,,,,frequency,,,N/A,,,,No,
30/12/2025 21:47:54,rayyan-380414770,Novel Glaucomys volans vocalizations in Indiana and evidence of geographic variation in high frequency communication,2016,Glaucomys volans,southern flying squirrel,,Rodentia,Sciuridae,field,,Unknown,,,523,,No,11,,,No,No,,yes,,,,,,,,not reported,AnalookW,8,No,duration,,,,,,,max freq; min freq; characteristic freq; syllable knee freq; mean freq; time to characteristic freq; time to knee freq,,,SAS,DFA,features,,No,
09/01/2026 06:38:56,rayyan-380414784,Alarm vocalizations of adult gray squirrels,1984,Sciurus carolinensis,gray squirrel,,Rodentia,Sciuridae,field,,Unknown,82,5000,,Hand,No,4,,,No,No,,yes,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
11/12/2025 21:23:43,rayyan-380414787,"The sounds of the fox squirrel, Sciurus niger rufiventer",1971,Sciurus niger rufiventer,Fox squirrel,,Rodentia,Sciuridae,field,group,Unknown,,,,Hand,Yes,8,,,No,No,,yes,,,,,,,,,Kay Sona-Graph,,Some,duration,inter unit interval,,,,,,intensity,,,N/A,,,,No,
05/01/2026 12:39:35,rayyan-380414793,Species-specific and shared features in vocal repertoires of three Eurasian ground squirrels (genus Spermophilus),2012,Spermophilus suslicus,speckled ground squirrel,,Rodentia,Sciuridae,field,group,Yes,50,,1065,Hand,Yes,8,,,Yes,No,,yes,,512;1024,Hamming,96.87,,,,,Avisoft SASLab Pro,11,Some,duration,"unit duration, inter unit interval",,,"min frequency, max frequency, bandwidth",,,F0 start; F0 end; Most prominent frequency peak of a wideband call at 7–10 kHz; Most prominent peak (or two peaks in chirrs) of a wideband call between the high- and low-frequency peaks at 2–5 kH; Most prominent frequency peak of a wideband call at 0–1 kHz,F0,,N/A,,,,No,
05/01/2026 14:28:23,rayyan-380414794,The vocal repertoire of chipmunks (genus Eutamias) in California,1976,Neotamias townsendii,Townsend's chipmunk,,Rodentia,Sciuridae,field,,Unknown,,,,Hand,Yes,8,,,Yes,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
03/01/2026 18:52:18,rayyan-380414797,The structure of voice signals of Siberian chipmunk (Tamias sibiricus Laxmann 1769; Rodentia: Sciuridae),2006,Tamias sibiricus,Siberian chipmunk,,Rodentia,Sciuridae,field,,Unknown,36,,198,Hand,Yes,2,,,No,No,,no,,,,,,,,,Sound Forge,19,No,duration,,Frequency at 20 points in call,,,,,min freq; max freq,,,Statistica,PCA,features,,Yes,
10/01/2026 12:47:08,rayyan-380414798,Structure and function of the vocalizations of tree squirrels (Tamiasciurus),1978,Tamiasciurus hudsonicus,American red squirrel,,Rodentia,Sciuridae,field,,Unknown,,,,Hand,Yes,6,,,No,No,,,,,,,,,,,Kay Sonagraph,,Some,duration,"unit duration, inter unit interval",,,,,,,,,N/A,,,,No,
06/01/2026 13:01:14,rayyan-380414799,"Red squirrels, Tamiasciurus hudsonicus, produce predator-class specific alarm calls",1998,Tamiasciurus hudsonicus,American red squirrel,,Rodentia,Sciuridae,field,solitary,Unknown,,,24,Hand,No,3,,,Yes,No,,no,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,No,
10/01/2026 12:26:40,rayyan-380414800,Pattern analysis of acoustical behavior in four species of ground squirrels,1978,Urocitellus columbianus,Columbian ground squirrel,,Rodentia,Sciuridae,field,,Unknown,,,,Hand,Yes,9,,,No,No,,yes,,,,,,,,,N/A,,,,,,,,,,,,,NT-SYS,UPGMA cluster analysis; matrix correlation,spectrogram,Spectrogram to array by coding each area as 1-4 intensity,No,
23/12/2025 11:55:44,rayyan-380414801,Vocalizations of Belding's ground squirrels (Spermophilus beldingi),1984,Urocitellus beldingi,Belding's ground squirrel,,Rodentia,Sciuridae,field,group,Unknown,,,312,Hand,No,4,,,Yes,No,,no,,,,,,,,,Voice-Identification 700 Sonagraph,22,Some,duration,"unit duration, inter unit interval, number of units","first, middle, last note",,,,,start freq; end freq; freq bandwidth; max freq; min freq,,,SPSS,DFA,features,,No,
27/10/2025 12:26:59,rayyan-305067471,Preliminary observations on squirrel monkey (Saimiri oerstedi) vocalizations in Costa Rica.,1988,Saimiri oerstedi,squirrel monkey,subspecies oerstedi and citrinellus,Primates,Cebidae,"field, lab",group,Yes,unknown,,1283,Hand,Yes,3,,,Yes,No,,yes,,,,,,,,not reported,Kay Sona-Graph,7,No,duration,,,,,,,peak freq; peak freq loc; mean freq; mid slope; front slope; tail slope,peak frequency,,not reported,DFA,features,,No,
29/12/2025 15:31:39,rayyan-380414607,"Ecological determinants of vocalisation parameters: the case of the coruro Spalacopus cyanus (octodontidae), a fossorial social rodent",2000,Spalacopus cyanus,coruro,,Rodentia,Octodontidae,"field, lab",group,Yes,,,300,Hand,Yes,11,2,,No,No,,,,256; 512,Hamming,50,,,,,Avisoft Sonagraph,,Some,duration,"unit duration, inter unit interval",,,,,,freq range; fundamental freq,F0,,N/A,,,,No,
21/12/2025 19:48:37,rayyan-380414769,Ultrasonic vocalizations emitted by flying squirrels,2013,Glaucomys volans,southern flying squirrels,,Rodentia,Sciuridae,"field, lab","group, solitary",No,,,,Hand,No,4,,,No,No,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,Yes,CC BY 4.0
15/12/2025 15:35:57,rayyan-380414771,The vocal repertoire of Spermophilus tridecemlineatus,1977,Spermophilus Tridecemlineatus,thirteen-lined ground squirrel,,Rodentia,Sciuridae,"field, lab","group, solitary",Unknown,34,,53,Hand,Yes,5,,,No,No,1 mechanical call,,,,,,,,,,Tektronix 564B,8,Some,duration,"unit duration, inter unit interval, number of units, unit range (units/s)",,,,,,length in msec from peak amplitude to 10% displacement for a single pulse; dominant frequency; pulse with maximum amplitude,dominant frequency,,BMD 07M,DFA,,,No,
18/08/2025 13:22:52,rayyan-305067096,Vocal repertoire and individuality in the plains zebra (Equus quagga).,2024,Equus quagga,plains zebra,,Perissodactyla,Equidae,"field, zoo","group, solitary",No,unclear,,678,"Hand, Automated",Yes,5,,4,No,"Yes, preprocessed",,yes,,1323,Hanning/Hann,,Highpass,,,"30 Hz for snorts and soft snorts, above 500 Hz for squeals and above 600 Hz for quagga quagga",Praat,12,Some,duration,,,"mean F0, max F0, min F0, range F0, Q25, Q50, Q75, peak frequency, amplitude variation, amplitude modulation rate, amplitude modulation extent",,,,,,,Python,"CNN, UMAP, SHAP","features, spectrogram",CNN-spectrogram; SHAP-features,Yes,CC BY 4.0
21/08/2025 20:21:58,rayyan-305067102,Characterising the harmonic vocal repertoire of the Indian wolf (Canis lupus pallipes).,2019,Canis lupus pallipes,Indian wolf,,Carnivora,Canidae,"field, zoo",group,Yes,unknown,,270,Automated,Yes,,,4,No,"Yes, preprocessed",,yes,,,Hanning/Hann,,,,,"The discrete Fourier function transforms the same length sequence of equally spaced sample points (N, where N is a prime number) with circular convolution being implemented on the points [48]. Hann windows were used at the rate of 1800 samples on 35.2 Hz 3dB filter. ",,11,No,duration,,,,,,,"f0 min, f0 max, f0 bandwidth, mean f0, number of abrupt changes (25Hz, 50 Hz, 100Hz), f0 std, covariant of frequency modulation, coefficient of frequency variation",F0,,SPSS,"DFA, PCA, silhouette clustering, agglomerative hierarchical clustering",features,,Yes,CC BY 4.0
24/08/2025 15:02:51,rayyan-305067117,The vocal repertoire of adult and neonate giant otters (Pteronura brasiliensis).,2014,Pteronura brasiliensis,giant otter,,Carnivora,Mustelidae,"field, zoo",group,Yes,66,,441,Hand,Yes,33,11,,Yes,"Yes, raw",,yes,,1024,Hanning/Hann,87.5,No,,,,Raven Pro,59,Some,duration,,"four subunits of equal duration; To describe the frequency contour of the vocalizations, we measured frequency and time at 9 points of equal time distance along the fundamental frequency. The 9 points represented start, mid and end point of each subunit",,,"aggregate entropy, average entropy, peak time",,"time to peak amplitude, min freq, max freq, dominant freq,  proportion of chaos, subharmonics and biphonation","dominant frequency, amplitude",,SPSS,"DFA, PCA",features,DFA on PCs,Yes,CC BY 4.0
24/08/2025 10:12:33,rayyan-305067126,The vocal repertoire of the Key Largo woodrat (Neotoma floridana smalli),2012,Neotoma floridana smalli,Key Largo woodrat,,Rodentia,Cricetidae,"field, zoo","group, solitary",Yes,22,,430,Hand,Yes,4,,,No,No,,yes,,,Hanning/Hann,,Lowpass,,60000,Only tonal calls filtered,PRAAT,6,No,duration,,,"mean F0, max F0, min F0, range F0, f0 sd",,,,,,"different measures for tonal vs atonal, spectral peaks were extracted by smoothing the spectrum using the linear-predictive-coding",Praat,Multidimensional scaling,features,,No,
20/08/2025 06:55:19,rayyan-305067195,Vocal communication in lion-tailed macaques (Macaca silenus).,1985,Macaca silenus,lion-tailed macaque,,Primates,Cercopithecidae,"field, zoo",group,Yes,70,,1350,Hand,Yes,17,4,,No,No,,,,,,,,,,no further analysis,N/A,,No,,,,,,,,,,,N/A,,,,No,
15/10/2025 11:17:03,rayyan-305067392,The use of Artificial Neural Networks to classify primate vocalizations: a pilot study on black lemurs,2010,Eulemur macaco macaco,black lemur,,Primates,Lemuridae,"field, zoo",group,Unknown,12,,344,"Hand, Automated",Yes,7,,7,No,No,,yes,,,,,Lowpass,,15000,,Praat,13,No,,,"start, middle, end",F0 point,,,,"F1, F2, F3",formants,3x measurements for each of the first 4 formants + duration,MATLAB,"DFA, K-means clustering, ANN",features,15 units network (one hidden layer network),No,
28/12/2025 10:53:02,rayyan-380414616,"Repertoire, Structure, and Individual Variation of Vocalizations in the Sea Otter",1995,Enhydra lutris nereis,sea otter,,Carnivora,Mustelidae,"field, zoo",,Yes,,,,Hand,Yes,10,1,,Yes,No,,no,,,,,,,,,Kay Sona-Graph,4,Some,duration,inter unit interval,,,,,,F0; max freq,F0,,N/A,,,DFA only for individuality,No,
20/08/2025 06:31:45,rayyan-305067081,Vocal repertoire and auditory sensitivity of white-throated woodrats (Neotoma albigula).,2023,Neotoma albigula,white-throated woodrat,,Rodentia,Cricetidae,lab,"group, solitary",No,22,,374,Hand,Yes,6,,,No,Upon request,,no,linear,512,Hanning/Hann,50,No,,,,Raven Pro,5,No,duration,,,,,max/peak frequency,,"minimum freq, maximum freq, bandwidth",,Unclear how the measures are measured in Raven Pro,SPSS,DFA,features,,No,
23/10/2025 19:37:33,rayyan-305067127,Role of auditory feedback for vocal production learning in the Egyptian fruit bat.,2024,Rousettus aegyptiacus,Egyptian fruit bat,,Chiroptera,Pteropodidae,lab,group,No,10,,28091,Automated,Yes,,,4,No,"Yes, raw",,yes,,,,,,,,,"BioSound (python), MATLAB",28,No,duration,,,,,,,"pitch saliency, F0, CV of F0,  five first momentum of the sound temporal envelope taken as a distribution (mean, standard deviation, kurtosis, skewness and entropy), amplitude periodicity frequency,  amplitude periodicity power index,  five first momentum of the sound power spectrum taken as a distribution (mean, standard deviation, kurtosis, skewness and entropy) and the first, second and third spectral quartiles","F0, peak frequency",Featuers from piezo audiologger and microphone,MATLAB,"DFA, PCA, UMAP, hierarchical agglomerative clustering",spectrogram,analysis based on NMPS (Normalized Modulation Power Spectrum),Yes,Elsevier user license
23/10/2025 19:23:26,rayyan-305067139,A cooperatively breeding mouse shows flexible use of its vocal repertoire according to social context.,2025,Rhabdomys pumilio,African striped mouse,,Rodentia,Muridae,lab,group,No,87,,66137,Automated,Yes,,,7,Yes,No,,no,,1680,,90,,,,selected based on tonality threshold (wiener entropy),Deepsqueak,9,No,duration,,,,,,,median freq; min freq; max freq; freq bandwidth; freq std; slope; wiener entropy; sinuosity,,contour from Deepsqueak,Deepsqueak,K-means clustering,features,,Yes,CC BY-NC 4.0
